canonical,category,module,source,direct_status,backends,input_units,input_grain,output_unit,final_status,blocker,math_issue,input_issue,unit_issue,grain_issue,revision_issue,pit_issue,same_day_issue,period_issue,missing_issue,parameter_issue,backend_issue,incremental_issue,cross_market_issue,input_semantic_unknown,severity
fin_equity_capital_growth,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_expectation_dispersion,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_expectation_revision,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_expectation_revision_count,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_expectation_revision_magnitude,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_expectation_revision_pct,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_expectation_revision_speed,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_expense_sales_divergence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_fair_value_income_dependence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_financing_gap,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_fundamental_strength_coverage,fundamental_period,,,experimental,pandas_numpy;polars,"{'roa': 'rate', 'ocf': 'rate', 'gross_margin': 'rate', 'asset_turnover': 'rate', 'leverage': 'rate', 'receivable_turnover': 'rate', 'inventory_turnover': 'rate', 'avg_assets': 'stock', 'revenue_growth': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_fundamental_strength_score,fundamental_period,,,experimental,pandas_numpy;polars,"{'roa': 'rate', 'ocf': 'rate', 'gross_margin': 'rate', 'asset_turnover': 'rate', 'leverage': 'rate', 'receivable_turnover': 'rate', 'inventory_turnover': 'rate', 'avg_assets': 'stock', 'revenue_growth': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_goodwill_intensity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_goodwill_risk_score,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_growth,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_growth_acceleration,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_growth_change,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_growth_persistence,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_growth_stability,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_growth_volatility,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_impairment_intensity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_interest_coverage_proxy,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_inventory_sales_divergence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_investment_income_dependence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_lag,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'same_as:output', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_lease_asset_liability_gap,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_lease_intensity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_log_change,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_margin_persistence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_mean_abs_deviation,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_median_abs_deviation,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_minority_profit_share,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_miss_streak,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,,,R23-317,P0
fin_monotonicity,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_negative_streak,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_net_borrowing_cashflow,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_net_debt_issuance,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_noncore_income_ratio,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_oci_to_equity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_other_earnings_dependence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_pct_change,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_percentile_history,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_percentile_vs_prior_history,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_period_restated,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'same_as:output', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_period_revision_age,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'same_as:output', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_period_revision_count,fundamental_period,,,experimental,pandas_numpy;polars,"{'x': 'same_as:output', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_positive_streak,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_qoq,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_quarter_from_cumulative,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_range,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_ratio,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_rd_capitalization_ratio,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_rd_total_intensity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_receivable_sales_divergence,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_restated_flag,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_revision_count,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_revision_delta,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_revision_direction,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_revision_magnitude,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_revision_pct,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_roe_cash_gap,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_seasonal_percentile,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_seasonal_zscore,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_sign_change_count,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_stability,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_staleness,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT18_REVISION_EVENT_UNPROVEN,,,,,PIT18_REVISION_EVENT_UNPROVEN,,,,,,,,,R23-317,P0
fin_std,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_surprise,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,,,R23-317,P0
fin_surprise_event_percentile,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,,,R23-317,P0
fin_surprise_event_zscore,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,,,R23-317,P0
fin_surprise_zscore,,,,production,pandas_numpy;polars,,,,CERTIFIED_CONTEXTUAL,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,PIT11_EXPECTATION_POST_EVENT_LEAK,,,,,,,,R23-317,P0
fin_total_operating_accruals,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_trend_acceleration,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_trend_r2,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_trend_slope,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_trend_tstat,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_ttm,,,,experimental,pandas_numpy;polars;sql,"{'x': 'flow', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_ttm_cumulative,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_ttm_quarterly,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_turnover,fundamental_period,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_working_capital_accruals,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_working_capital_change,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_yoy,fundamental_period,,,experimental,pandas_numpy;polars;sql,"{'x': 'rate', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
fin_zscore_history,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fin_zscore_vs_prior_history,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_acceleration,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_accrual_quality,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_ar_resid_std,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_asymmetric_elasticity,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_asymmetric_timeliness,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_autocorr,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_change_direction_agreement,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_direction_consistency,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_pair_direction_agreement,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_pct_change,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_perpetual_inventory,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_regression_resid_std,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_reversal_ratio,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_rolling_std,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_sign_agreement,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_sign_consistency,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_standardized_surprise,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fiscal_true_streak,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fix,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
flex_max,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
flex_min,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
float_share_ratio,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
floor,math,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
free_float_ratio,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
free_float_share_ratio,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
free_float_turnover,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
free_to_circulating_ratio,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
fundamental_staleness,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
garman_klass_vol,ohlc_volatility,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ge,elementwise_math,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
group_corr_mst_length,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_count,cross_sectional,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
group_current_members_tail_coexceedance,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_decay_linear,cross_sectional,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_distribution_js_divergence,cross_sectional,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_ex_self_mad,group_neutralization,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_ex_self_mean,group_neutralization,,,experimental,pandas_numpy;polars;sql,,,same_as:x,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_ex_self_quantile,group_neutralization,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_ex_self_std,group_neutralization,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_ex_self_weighted_mean,group_neutralization,,,experimental,pandas_numpy;polars,,,same_as:x,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_coverage_ratio,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_effective_rank,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_mode_localization,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_mode_share,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_second_mode_localization,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_spectral_gap,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_feature_valid_member_count,group_structure,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_impute_median,group,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_kurtosis,cross_sectional,,,experimental,pandas_numpy;polars;sql,,,dimensionless,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_leader_laggard_exposure,group_neutralization,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_max,cross_sectional,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
group_mean,cross_sectional,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
group_min,cross_sectional,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
group_multi_level_rank_consistency,group_neutralization,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_multi_resid,group_neutralization,,,experimental,pandas_numpy;polars,,,same_as:y,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
group_neutralize,cross_sectional,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
